size;time;type;grid_size;block_size
1024;5.227264;optimised_shared;4;1024
1024;5.178656;optimised_shared;4;1024
1024;3.840992;optimised_shared;0;1024
1024;3.754016;optimised_shared;0;1024
1024;5.182848;optimised_shared;0;1024
1024;4.984160;optimised_shared;0;1024
1024;4.019968;optimised_shared;0;2048
1024;5.101280;optimised_shared;0;2048
1024;5.517792;optimised_shared;1;2048
1024;5.334176;optimised_shared;1;2048
1024;5.056640;optimised_shared;2;2048
1024;5.905216;optimised_shared;2;2048
1024;5.496960;optimised_shared;0;2048
1024;5.242720;optimised_shared;0;2048
1024;3.700288;optimised_shared;0;2048
1024;4.046400;optimised_shared;0;2048
2048;18.536768;optimised_shared;256;8
2048;17.172352;optimised_shared;256;8
2048;0.000000;optimised_shared;512;8
2048;0.000000;optimised_shared;512;8
2048;0.000000;optimised_shared;1024;8
2048;0.000000;optimised_shared;1024;8
2048;16.329760;optimised_shared;128;8
2048;17.080095;optimised_shared;128;8
2048;11.571072;optimised_shared;64;8
2048;16.071936;optimised_shared;64;8
2048;14.110336;optimised_shared;128;16
2048;12.472480;optimised_shared;128;16
2048;0.000000;optimised_shared;256;16
2048;0.000000;optimised_shared;256;16
2048;0.000000;optimised_shared;512;16
2048;0.000000;optimised_shared;512;16
2048;12.194976;optimised_shared;64;16
2048;15.278816;optimised_shared;64;16
2048;16.662239;optimised_shared;32;16
2048;11.683264;optimised_shared;32;16
2048;12.029984;optimised_shared;64;32
2048;19.689152;optimised_shared;64;32
2048;0.000000;optimised_shared;128;32
2048;0.000000;optimised_shared;128;32
2048;0.000000;optimised_shared;256;32
2048;0.000000;optimised_shared;256;32
2048;20.048927;optimised_shared;32;32
2048;16.967264;optimised_shared;32;32
2048;13.562464;optimised_shared;16;32
2048;16.797665;optimised_shared;16;32
2048;11.988608;optimised_shared;32;64
2048;13.216832;optimised_shared;32;64
2048;16.910624;optimised_shared;64;64
2048;16.712193;optimised_shared;64;64
2048;15.129344;optimised_shared;128;64
2048;17.191072;optimised_shared;128;64
2048;17.556255;optimised_shared;16;64
2048;14.228960;optimised_shared;16;64
2048;16.485825;optimised_shared;8;64
2048;15.079744;optimised_shared;8;64
2048;18.372959;optimised_shared;16;128
2048;13.079072;optimised_shared;16;128
2048;16.216320;optimised_shared;32;128
2048;16.111328;optimised_shared;32;128
2048;12.225536;optimised_shared;64;128
2048;16.842464;optimised_shared;64;128
2048;13.256992;optimised_shared;8;128
2048;17.065920;optimised_shared;8;128
2048;17.840609;optimised_shared;4;128
2048;38.303490;optimised_shared;4;128
2048;18.720224;optimised_shared;8;256
2048;13.428384;optimised_shared;8;256
2048;12.697632;optimised_shared;16;256
2048;16.561504;optimised_shared;16;256
2048;14.122432;optimised_shared;32;256
2048;18.064608;optimised_shared;32;256
2048;18.022720;optimised_shared;4;256
2048;16.504704;optimised_shared;4;256
2048;17.005920;optimised_shared;2;256
2048;16.482016;optimised_shared;2;256
2048;17.226976;optimised_shared;4;512
2048;12.026464;optimised_shared;4;512
2048;16.935808;optimised_shared;8;512
2048;16.545153;optimised_shared;8;512
2048;11.505024;optimised_shared;16;512
2048;17.316511;optimised_shared;16;512
2048;11.892000;optimised_shared;2;512
2048;17.219936;optimised_shared;2;512
2048;16.919104;optimised_shared;1;512
2048;18.020033;optimised_shared;1;512
2048;16.858303;optimised_shared;2;1024
2048;14.558944;optimised_shared;2;1024
2048;12.793120;optimised_shared;4;1024
2048;11.627808;optimised_shared;4;1024
2048;14.883360;optimised_shared;8;1024
2048;13.279680;optimised_shared;8;1024
2048;16.413568;optimised_shared;1;1024
2048;17.405952;optimised_shared;1;1024
2048;18.829151;optimised_shared;0;1024
2048;12.798432;optimised_shared;0;1024
