threads, array_size, random_gen, put_to_buckets, sort_buckets, bucket_offsets, write_to_array, all
8, 1000000000, 1.284602, 25.798631, 0.537970, 0.464491, 0.440568, 28.526263
9, 1000, 0.000272, 0.000145, 0.000064, 0.000155, 0.000070, 0.000706
9, 10000, 0.000094, 0.000365, 0.000113, 0.000171, 0.000119, 0.000863
9, 100000, 0.000238, 0.002148, 0.000461, 0.000257, 0.000122, 0.003226
9, 1000000, 0.001950, 0.018688, 0.001118, 0.002519, 0.000892, 0.025169
9, 10000000, 0.018987, 0.194690, 0.006506, 0.006252, 0.006406, 0.232842
9, 100000000, 0.115733, 2.172847, 0.046753, 0.045542, 0.036845, 2.417722
9, 1000000000, 1.198623, 28.168953, 0.441645, 0.489244, 0.461656, 30.760121
10,1000, 0.000314, 0.000083, 0.000075, 0.000131, 0.000082, 0.000686
10,10000, 0.000121, 0.000311, 0.000104, 0.000183, 0.000124, 0.000843
10,100000, 0.000240, 0.001897, 0.000462, 0.000246, 0.000168, 0.003013
10,1000000, 0.001809, 0.018372, 0.001013, 0.002181, 0.000770, 0.024146
10,10000000, 0.017141, 0.185867, 0.006640, 0.005411, 0.006740, 0.221799
10,100000000, 0.144497, 2.145825, 0.047836, 0.060156, 0.048351, 2.446666
10,1000000000, 1.097803, 24.563236, 0.498846, 0.510701, 0.437292, 27.107878
1, 1000, 0.000012, 0.000011, 0.000018, 0.000003, 0.000003, 0.000047
1, 10000, 0.000083, 0.000105, 0.000173, 0.000007, 0.000033, 0.000401
1, 100000, 0.000826, 0.001244, 0.001550, 0.000075, 0.000308, 0.004003
1, 1000000, 0.008231, 0.016673, 0.003090, 0.000737, 0.002914, 0.031645
1, 10000000, 0.082259, 0.249656, 0.033096, 0.007398, 0.030414, 0.402823
1, 100000000, 0.828739, 2.980028, 0.277296, 0.075803, 0.248997, 4.410863
1, 1000000000, 8.391086, 37.971160, 2.915161, 0.834331, 2.609322, 52.721060
2, 1000, 0.000472, 0.000048, 0.000024, 0.000021, 0.000008, 0.000573
2, 10000, 0.000090, 0.000148, 0.000117, 0.000023, 0.000038, 0.000416
2, 100000, 0.000456, 0.000980, 0.000871, 0.000119, 0.000185, 0.002611
2, 1000000, 0.004344, 0.009454, 0.001681, 0.000544, 0.001556, 0.017579
2, 10000000, 0.042549, 0.134781, 0.017283, 0.005453, 0.015692, 0.215759
2, 100000000, 0.427730, 1.710266, 0.145309, 0.051357, 0.129283, 2.463948
2, 1000000000, 4.420575, 21.903354, 1.609270, 0.645856, 1.352119, 29.931174
3, 1000, 0.000175, 0.000021, 0.000022, 0.000024, 0.000010, 0.000252
3, 10000, 0.000064, 0.000147, 0.000130, 0.000029, 0.000034, 0.000404
3, 100000, 0.000338, 0.000801, 0.000590, 0.000121, 0.000187, 0.002037
3, 1000000, 0.002967, 0.008968, 0.001384, 0.000437, 0.001147, 0.014903
3, 10000000, 0.028817, 0.217600, 0.012113, 0.005712, 0.010760, 0.275003
3, 100000000, 0.289695, 1.343268, 0.099015, 0.045776, 0.089967, 1.867722
3, 1000000000, 2.986523, 67.453581, 1.116037, 0.535040, 0.929518, 73.020700
4, 1000, 0.000188, 0.000032, 0.000024, 0.000024, 0.000015, 0.000283
4, 10000, 0.000076, 0.000136, 0.000074, 0.000035, 0.000040, 0.000362
4, 100000, 0.000276, 0.000689, 0.000468, 0.000113, 0.000102, 0.001648
4, 1000000, 0.002292, 0.009793, 0.001237, 0.002239, 0.000899, 0.016460
4, 10000000, 0.021929, 0.117449, 0.009039, 0.004124, 0.008006, 0.160548
4, 100000000, 0.217625, 1.190620, 0.075463, 0.041240, 0.066445, 1.591393
4, 1000000000, 2.232938, 14.502934, 0.855814, 0.504546, 0.743023, 18.839256
5, 1000, 0.000191, 0.000116, 0.000039, 0.000057, 0.000019, 0.000422
5, 10000, 0.000124, 0.000164, 0.000077, 0.000076, 0.000027, 0.000469
5, 100000, 0.000245, 0.002239, 0.000409, 0.000114, 0.000115, 0.003122
5, 1000000, 0.001808, 0.020415, 0.001101, 0.000466, 0.000733, 0.024523
5, 10000000, 0.017659, 0.192451, 0.006998, 0.005498, 0.006566, 0.229173
5, 100000000, 0.175926, 2.067000, 0.059619, 0.038263, 0.053772, 2.394581
5, 1000000000, 1.945693, 37.198070, 0.736931, 0.380941, 0.623786, 40.885421
6, 1000, 0.000219, 0.000086, 0.000107, 0.000118, 0.000047, 0.000579
6, 10000, 0.000084, 0.000300, 0.000094, 0.000175, 0.000077, 0.000730
6, 100000, 0.000220, 0.002338, 0.000438, 0.000159, 0.000185, 0.003341
6, 1000000, 0.001537, 0.024578, 0.000908, 0.002376, 0.000674, 0.030073
6, 10000000, 0.014744, 0.310929, 0.005960, 0.005532, 0.005210, 0.342375
6, 100000000, 0.146742, 3.586041, 0.051345, 0.039450, 0.044681, 3.868261
6, 1000000000, 1.664705, 32.975407, 0.636884, 0.469194, 0.535622, 36.281814
7, 1000, 0.000265, 0.000082, 0.000102, 0.000206, 0.000080, 0.000736
7, 10000, 0.000105, 0.000360, 0.000140, 0.000127, 0.000074, 0.000806
7, 100000, 0.000221, 0.002175, 0.000578, 0.000177, 0.000130, 0.003281
7, 1000000, 0.001366, 0.021192, 0.000806, 0.000735, 0.000624, 0.024723
7, 10000000, 0.012729, 0.234518, 0.005229, 0.006332, 0.004716, 0.263526
7, 100000000, 0.125916, 2.291943, 0.052126, 0.038269, 0.038884, 2.547139
7, 1000000000, 1.523446, 23.812294, 0.606913, 0.462103, 0.417727, 26.822483
