thread_count, array_size, random_gen, put_to_buckets, write_to_array, all
4 100000000 0.218493 7.006308 0.088551 7.313352
4 1000000000 2.312558 50.528755 0.827365 53.668678
5 1000 0.000167 0.000068 0.000058 0.000293
5 10000 0.000084 0.000254 0.000059 0.000397
5 100000 0.000249 0.002126 0.000157 0.002532
5 1000000 0.001830 0.022897 0.000793 0.025520
5 10000000 0.017587 0.384765 0.006925 0.409277
5 100000000 0.177333 5.848734 0.067499 6.093566
5 1000000000 1.837683 43.809002 0.676307 46.322992
6 1000 0.000166 0.000063 0.000056 0.000285
6 10000 0.000095 0.000257 0.000111 0.000463
6 100000 0.000238 0.002065 0.000183 0.002486
6 1000000 0.001551 0.020687 0.000667 0.022905
6 10000000 0.014718 0.341078 0.005731 0.361527
6 100000000 0.146669 5.093089 0.057342 5.297100
6 1000000000 1.537112 39.741645 0.562034 41.840791
7 1000 0.000195 0.000082 0.000076 0.000353
7 10000 0.000085 0.000303 0.000069 0.000457
7 100000 0.000238 0.001973 0.000165 0.002376
7 1000000 0.001351 0.019620 0.000611 0.021582
7 10000000 0.012761 0.321452 0.004979 0.339192
7 100000000 0.126775 4.655870 0.049501 4.832146
7 1000000000 1.329184 37.182937 0.492908 39.005029
8 1000 0.000185 0.000055 0.000063 0.000303
8 10000 0.000125 0.000233 0.000089 0.000447
8 100000 0.000233 0.001884 0.000135 0.002252
8 1000000 0.001223 0.018109 0.000532 0.019864
8 10000000 0.011200 0.293015 0.004434 0.308649
8 100000000 0.111423 4.234166 0.043363 4.388952
8 1000000000 1.172119 34.875345 0.430166 36.477630
9 1000 0.000200 0.000094 0.000140 0.000434
9 10000 0.000102 0.000233 0.000155 0.000490
9 100000 0.000218 0.001852 0.000214 0.002284
9 1000000 0.001231 0.023183 0.000774 0.025188
9 10000000 0.011228 0.288273 0.006584 0.306085
9 100000000 0.112605 4.154847 0.047011 4.314463
9 1000000000 1.129643 35.899797 0.443291 37.472731
10 1000 0.000216 0.000099 0.000204 0.000519
10 10000 0.000178 0.000257 0.000142 0.000577
10 100000 0.000251 0.002240 0.000185 0.002676
10 1000000 0.002355 0.029870 0.000954 0.033179
10 10000000 0.016099 0.343981 0.006656 0.366736
10 100000000 0.109460 4.109334 0.049660 4.268454
10 1000000000 1.068787 36.642257 0.517488 38.228532
1 1000 0.000014 0.000037 0.000004 0.000055
1 10000 0.000089 0.001762 0.000046 0.001897
1 100000 0.000888 0.004063 0.000327 0.005278
1 1000000 0.008920 0.073374 0.003333 0.085627
1 10000000 0.088281 1.806453 0.033716 1.928450
1 100000000 0.880277 21.830759 0.326967 23.038003
1 1000000000 8.858890 120.049000 3.173342 132.081232
2 1000 0.000148 0.000047 0.000013 0.000208
2 10000 0.000071 0.000275 0.000041 0.000387
2 100000 0.000453 0.002824 0.000192 0.003469
2 1000000 0.004422 0.033321 0.001679 0.039422
2 10000000 0.042705 0.828453 0.016762 0.887920
2 100000000 0.427076 12.086750 0.165310 12.679136
2 1000000000 4.463660 77.591026 1.628346 83.683032
3 1000 0.000075 0.000053 0.000018 0.000146
3 10000 0.000064 0.000266 0.000040 0.000370
3 100000 0.000364 0.002699 0.000225 0.003288
3 1000000 0.002989 0.031162 0.001185 0.035336
3 10000000 0.029465 0.630491 0.011636 0.671592
3 100000000 0.292224 8.960631 0.112617 9.365472
3 1000000000 3.040383 60.450176 1.149961 64.640520
4 1000 0.000104 0.000053 0.000023 0.000180
4 10000 0.000069 0.000258 0.000046 0.000373
4 100000 0.000269 0.002304 0.000175 0.002748
4 1000000 0.002264 0.024116 0.000916 0.027296
4 10000000 0.022096 0.456907 0.008691 0.487694
4 100000000 0.220624 6.960067 0.085728 7.266419
4 1000000000 2.299549 50.064384 0.829216 53.193149
5 1000 0.000169 0.000074 0.000031 0.000274
5 10000 0.000089 0.000249 0.000081 0.000419
5 100000 0.000245 0.002166 0.000173 0.002584
5 1000000 0.001814 0.022548 0.000773 0.025135
5 10000000 0.017720 0.407885 0.006830 0.432435
5 100000000 0.176289 5.883265 0.068544 6.128098
5 1000000000 1.845230 44.104748 0.674740 46.624718
6 1000 0.000209 0.000056 0.000075 0.000340
6 10000 0.000099 0.000217 0.000101 0.000417
6 100000 0.000235 0.002025 0.000168 0.002428
6 1000000 0.001554 0.019590 0.000676 0.021820
6 10000000 0.014921 0.345957 0.005742 0.366620
6 100000000 0.146888 5.090346 0.056674 5.293908
6 1000000000 1.533930 39.858748 0.563133 41.955811
7 1000 0.000175 0.000098 0.000097 0.000370
7 10000 0.000087 0.000284 0.000091 0.000462
7 100000 0.000257 0.001911 0.000164 0.002332
7 1000000 0.001393 0.019719 0.000612 0.021724
7 10000000 0.012717 0.319914 0.004953 0.337584
7 100000000 0.126278 4.658316 0.049282 4.833876
7 1000000000 1.410939 37.254834 0.490919 39.156692
8 1000 0.000129 0.000054 0.000060 0.000243
8 10000 0.000076 0.000244 0.000117 0.000437
8 100000 0.000256 0.001859 0.000129 0.002244
8 1000000 0.001220 0.019207 0.000536 0.020963
8 10000000 0.011607 0.309376 0.004366 0.325349
8 100000000 0.110605 4.200833 0.043393 4.354831
8 1000000000 1.171820 34.641344 0.442314 36.255478
9 1000 0.000269 0.000102 0.000125 0.000496
9 10000 0.000194 0.000308 0.000115 0.000617
9 100000 0.000282 0.001884 0.000213 0.002379
9 1000000 0.001400 0.019504 0.000791 0.021695
9 10000000 0.010743 0.296460 0.005580 0.312783
9 100000000 0.112926 4.227944 0.049604 4.390474
9 1000000000 1.101470 35.257358 0.449643 36.808471
10 1000 0.000234 0.000111 0.000145 0.000490
10 10000 0.000139 0.000296 0.000114 0.000549
10 100000 0.000230 0.002040 0.000193 0.002463
10 1000000 0.001185 0.021457 0.000796 0.023438
10 10000000 0.009959 0.272106 0.006539 0.288604
10 100000000 0.103072 4.051076 0.045362 4.199510
10 1000000000 1.040848 35.157560 0.427409 36.625817
