threads,array_size,random_gen,put_to_buckets,sort_buckets,bucket_offsets,write_to_array,all
10,1000000000,1.309629,21.510500,0.628181,0.527863,0.398142,24.374315
1,1000,0.000014,0.000012,0.000017,0.000001,0.000003,0.000048
1,10000,0.000082,0.000105,0.000166,0.000008,0.000031,0.000392
1,100000,0.000825,0.001219,0.001579,0.000085,0.000313,0.004021
1,1000000,0.008466,0.020549,0.003371,0.000741,0.003077,0.036204
1,10000000,0.083658,0.294029,0.033140,0.007402,0.030490,0.448719
1,100000000,0.831696,3.464211,0.279748,0.074936,0.250851,4.901443
1,1000000000,8.501926,42.377399,3.186523,0.874700,2.586614,57.527163
2,1000,0.000275,0.000042,0.000026,0.000012,0.000011,0.000366
2,10000,0.000086,0.000143,0.000118,0.000019,0.000041,0.000407
2,100000,0.000458,0.000974,0.000852,0.000083,0.000202,0.002569
2,1000000,0.004329,0.009618,0.001655,0.000548,0.001560,0.017710
2,10000000,0.042688,0.161810,0.017983,0.007042,0.015939,0.245463
2,100000000,0.423894,2.332801,0.146051,0.053130,0.130069,3.085945
2,1000000000,4.460164,24.316501,1.725898,0.599513,1.332144,32.434225
3,1000,0.000160,0.000041,0.000030,0.000019,0.000011,0.000261
3,10000,0.000081,0.000148,0.000130,0.000032,0.000033,0.000424
3,100000,0.000337,0.000832,0.000605,0.000110,0.000178,0.002062
3,1000000,0.002962,0.006850,0.001194,0.000547,0.001123,0.012677
3,10000000,0.028613,0.135939,0.012060,0.004620,0.010933,0.192165
3,100000000,0.288605,1.828396,0.099076,0.042448,0.085791,2.344317
3,1000000000,3.105789,17.853269,1.237530,0.502551,0.921068,23.620208
4,1000,0.000204,0.000029,0.000033,0.000046,0.000016,0.000328
4,10000,0.000081,0.000139,0.000100,0.000035,0.000024,0.000379
4,100000,0.000270,0.000683,0.000474,0.000108,0.000133,0.001668
4,1000000,0.002319,0.020011,0.000945,0.000510,0.000848,0.024634
4,10000000,0.021984,0.131729,0.008760,0.004102,0.008071,0.174646
4,100000000,0.217628,1.994235,0.074469,0.038779,0.066983,2.392094
4,1000000000,2.302611,38.455225,0.944905,0.483167,0.701095,42.887004
5,1000,0.000290,0.000094,0.000043,0.000090,0.000045,0.000562
5,10000,0.000095,0.000280,0.000093,0.000150,0.000042,0.000661
5,100000,0.000242,0.002235,0.000398,0.000159,0.000165,0.003199
5,1000000,0.001831,0.018922,0.001173,0.000434,0.000796,0.023157
5,10000000,0.017590,0.224832,0.007091,0.003934,0.006557,0.260005
5,100000000,0.175491,2.200884,0.060319,0.036587,0.054226,2.527508
5,1000000000,2.079105,43.566154,0.905400,0.510483,0.555428,47.616571
6,1000,0.000231,0.000105,0.000049,0.000133,0.000041,0.000559
6,10000,0.000079,0.000387,0.000109,0.000184,0.000082,0.000841
6,100000,0.000224,0.002346,0.000381,0.000179,0.000121,0.003251
6,1000000,0.001579,0.024922,0.000907,0.000485,0.000655,0.028549
6,10000000,0.014783,0.294846,0.006065,0.003896,0.005486,0.325076
6,100000000,0.147547,2.941485,0.051597,0.036766,0.045508,3.222904
6,1000000000,1.730223,33.340179,0.709608,0.490892,0.465406,36.736308
7,1000,0.000270,0.000111,0.000103,0.000176,0.000068,0.000728
